Assessment,Headline,Status,Last Updated,Category1,Category2,Category3
Severe,Interbank Lending Rates Manipulation,Ongoing,Jul-19,Financial System Instability,Corporate Behavior,Governance
Severe,Investigation and Lawsuit over Foreign Exchange Market Manipulation,Ongoing,May-19,Financial System Instability,Corporate Behavior,Governance
Severe,Government Sponsored Bond Market Price Manipulation,Ongoing,May-19,Financial System Instability,Corporate Behavior,Governance
Severe,United States: Investigations and Civil Lawsuits over Alleged Price Manipulation of Treasury,Ongoing,May-19,Financial System Instability,Corporate Behavior,Governance
Moderate,Germany: Alleged Involvement in the Fraudulent Emissions Trading Scheme,Ongoing,Aug-19,Financial System Instability,Corporate Behavior,Governance
Moderate,Australia: Criminal Charges Filed Against Bank and Senior Executives Over Alleged Cartel Conduct on Capital Raising,Ongoing,Jul-19,Financial System Instability,Corporate Behavior,Governance
Moderate,Investigations over Alleged Involvement in 1MDB Money Laundering,Ongoing,Jul-19,Financial System Instability,Corporate Behavior,Governance
Moderate,United States: Inquiries into Business Dealings with Trump Organization,Ongoing,Jul-19,Financial System Instability,Corporate Behavior,Governance
Moderate,Germany: Regulatory Order to Re-Examine Alleged Risky Customers and Anti-Money Laundering Processes,Ongoing,Jun-19,Financial System Instability,Corporate Behavior,Governance
Moderate,Investigations over Alleged Role in Tax Avoidance through Dividend Arbitrage Trade; EUR 4 Million German Settlement with Frankfurt Prosecutor in December 2018,Ongoing,Jun-19,Financial System Instability,Corporate Behavior,Governance
Moderate,Investigations on Hiring Practices Alleging Potential Violations of U.S. Foreign Corrupt Practice Act and Other Laws,Ongoing,May-19,Financial System Instability,Corporate Behavior,Governance
Moderate,South Korea: Investigation over Alleged Discrepancy in Derivatives Trades,Ongoing,May-19,Financial System Instability,Corporate Behavior,Governance
Moderate,Inquiry over Alleged Involvement in Danske Bank Money Laundering Investigation,Ongoing,May-19,Financial System Instability,Corporate Behavior,Governance
Moderate,Precious Metals Price Manipulation,Ongoing,May-19,Financial System Instability,Corporate Behavior,Governance
Moderate,Investigations into Alleged Complicity in Money Laundering by Russian Clients and International Sanctions Violations,Ongoing,May-19,Financial System Instability,Corporate Behavior,Governance
Moderate,"Colorado, United States: Dismissal of Purported Class Action Lawsuit over Alleged Manipulation of Canadian Dealer Offered Rate",Concluded,May-19,Financial System Instability,Corporate Behavior,Governance
Moderate,United States: Lawsuit over Allegations of BBSW Manipulation,Ongoing,May-19,Financial System Instability,Corporate Behavior,Governance
Moderate,Probe over Alleged Italian Government Bond Market Manipulation,Ongoing,May-19,Financial System Instability,Corporate Behavior,Governance
Moderate,United States: Investigation and Lawsuits over Alleged Price Manipulation of Governmentsponsored Enterprise Bonds,Ongoing,May-19,Financial System Instability,Corporate Behavior,Governance
Moderate,India: INR 10 Million Penalty over Alleged Non-compliance with Regulations on the Use of SWIFT Messaging Service,Concluded,Mar-19,Financial System Instability,Corporate Behavior,Governance
Moderate,Penalty of USD75 Million over Alleged Inadequate Internal Controls Resulting in Mishandling of ADRs; Ongoing Investigation by German Tax Authorities,Ongoing,Dec-18,Financial System Instability,Corporate Behavior,Governance
Moderate,Regulatory Reviews over Alleged Role in the Panama Papers; German HQ Raided,Ongoing,Dec-18,Financial System Instability,Corporate Behavior,Governance
Moderate,Purported Class Action Lawsuits over Alleged Mexican Bond Market Manipulation,Ongoing,Nov-18,Financial System Instability,Corporate Behavior,Governance
Moderate,India: Central Bank INR 30 Million Penalty over Alleged Violations on RBI Norms,Concluded,Nov-18,Financial System Instability,Corporate Behavior,Governance
Moderate,United States: Regulator Launched Probe over Alleged Accounts Operation for Political Party with Known Association with Terrorist Organization,Ongoing,Sep-17,Financial System Instability,Corporate Behavior,Governance
Moderate,Poland: Inquiry over Alleged Discrepancy in Setting FX Rate for Credit Deals,Ongoing,Jul-17,Financial System Instability,Corporate Behavior,Governance
Moderate,United States: Investigation over Alleged Involvement in North Korea Money Laundering Activities,Ongoing,Jul-17,Financial System Instability,Corporate Behavior,Governance
Moderate,FIFA: Investigation over Alleged Involvement in Money Laundering,Ongoing,Apr-17,Financial System Instability,Corporate Behavior,Governance
Moderate,Japan: Deutsche Securities Faces Potential Penalties from SESC Over Alleged Disclosure of Confidential Information to Clients,Ongoing,Apr-17,Financial System Instability,Corporate Behavior,Governance
Moderate,EU: Criticism on the Discrepancies of Profit vs Taxes from the Use of Tax Havens,Ongoing,Mar-17,Financial System Instability,Corporate Behavior,Governance
Moderate,Israel: Managing Director Charged over Allegations of Misreported Tax Transactions,Ongoing,Feb-17,Financial System Instability,Corporate Behavior,Governance
Moderate,Brazil: Criticisms over Alleged Failure to Properly Monitor Investments,Ongoing,Oct-16,Financial System Instability,Corporate Behavior,Governance
Minor,United States: Inquiry over Facilitation of Jeffrey Epstein Funds,Ongoing,Aug-19,Financial System Instability,Corporate Behavior,Governance
Minor,Netherlands: EUR 175 Million Lawsuit Settlement over Alleged Improper Selling of Interest Rate Derivatives and Bribery Allegations to Facilitate Trade,Concluded,Jul-19,Financial System Instability,Corporate Behavior,Governance
Minor,United States: 2016 USD7.2 Billion Agreement to Settle Allegations of Selling Risky Mortgage-Backed Securities; USD 4.1 Billion in Consumer Relief Instead to be Spent on New Loan Origination,Concluded,May-19,Financial System Instability,Corporate Behavior,Governance
Minor,"New York, United States: Dismissal of Lawsuit over Alleged Violation of Sanctions and Abetting Terrorism Through Facilitation of Banking Services to Iran",Concluded,Apr-19,Financial System Instability,Corporate Behavior,Governance
Minor,South Korea: KRW 212 Million Regulatory Penalty over Alleged Manipulation of Foreign Exchange Derivatives between 2010 and 2012,Concluded,Jan-19,Financial System Instability,Corporate Behavior,Governance
Minor,"United States: Dismissal of Lawsuit over Alleged Role in Facilitating Iranian Banking Leading to Iranian Weapon Sale, Bombing and Killing of U.S. Soldier",Concluded,Jan-19,Financial System Instability,Corporate Behavior,Governance
Minor,United States: Trader Penalized and Banned over Alleged Fraudulent Trading Activities to Hide Losses After Being Reported; Investigation on Company Closed,Concluded,Nov-18,Financial System Instability,Corporate Behavior,Governance
Minor,Settlement of ISDAfix Interest Rate Manipulation Allegations,Concluded,Aug-18,Financial System Instability,Corporate Behavior,Governance
Minor,Investigation over Use of Basket Options for Tax Avoidance,Concluded,Aug-17,Financial System Instability,Corporate Behavior,Governance
Moderate,NGOs Call for Action from Vale Business Partners Following Feijão Mine Tailings Dam Collapse,Ongoing,Apr-19,Financing Environmental Impact,Climate Change,Environment
Minor,NGO Criticism over Alleged Substantial Funding for Fossil Fuel Companies,Ongoing,May-19,Financing Environmental Impact,Climate Change,Environment
Minor,Canada: NGO Criticism over Increased Funding in Coastal Gaslink Pipeline,Ongoing,Mar-19,Financing Environmental Impact,Climate Change,Environment
Severe,"New York, United States: Certified Class Action over Alleged Excessive Fees and Mismanagement of Ongoing 401(k) Plan",Ongoing,Nov-18,Human Capital Development,Human Capital ,Social
Moderate,EU Court Ruled Establishment of Employee Work Hour Tracking for Proper Compensation Concluded,Concluded,Mar-19,Human Capital Development,Human Capital ,Social
Moderate,NGOs Call for Action from Vale Business Partners Following Feijão Mine Tailings Dam Collapse,Ongoing,Apr-19,Responsible Investment,Product Liability,Social
Minor,NGO Criticism over Alleged Substantial Funding for Fossil Fuel Companies,Ongoing,May-19,Responsible Investment,Product Liability,Social
Minor,Canada: NGO Criticism over Increased Funding in Coastal Gaslink Pipeline,Ongoing,Mar-19,Responsible Investment,Product Liability,Social
Moderate,Germany: Alleged Involvement in the Fraudulent Emissions Trading Scheme,Ongoing,Aug-19,Tax Transparency,Corporate Behavior,Governance
Moderate,Investigations over Alleged Role in Tax Avoidance through Dividend Arbitrage Trade; EUR 4 Million German Settlement with Frankfurt Prosecutor in December 2018,Ongoing,Jun-19,Tax Transparency,Corporate Behavior,Governance
Moderate,Regulatory Reviews over Alleged Role in the Panama Papers; German HQ Raided,Ongoing,May-19,Tax Transparency,Corporate Behavior,Governance
Moderate,EU: Criticism on the Discrepancies of Profit vs Taxes from the Use of Tax Havens,Ongoing,Mar-17,Tax Transparency,Corporate Behavior,Governance
Moderate,Israel: Managing Director Charged over Allegations of Misreported Tax Transactions,Ongoing,Feb-17,Tax Transparency,Corporate Behavior,Governance
Assessment: Severe,"New York, United States: Certified Class Action over Alleged Excessive Fees and Mismanagement of 401(k) Plan",Ongoing,Oct-16,Corruption & Instability,Corporate Behavior,Governance
Moderate,"United States: USD 500,000 Penalty on Subsidiary over Allegations of Misleading Clients Related to Hedge Fund",Concluded,Jul-17,Corruption & Instability,Corporate Behavior,Governance
Moderate,U.S. SEC Settlement with 79 Investment Advisers over Alleged Inadequate Disclosures and Breach of Fiduciary Duty,Concluded,Feb-17,Corruption & Instability,Corporate Behavior,Governance
Moderate,Poland: PLN 7 Million over Alleged Use of Prohibited Clauses in Credit Agreements Rendering Customers Unable to,Concluded,Nov-18,Business Ethics,Corporate Behavior,Governance
Moderate,United States: Lawsuit Filed over Alleged Discrimination in Maintaining and Marketing Foreclosed Houses,Ongoing,Oct-16,Corruption & Instability,Corporate Behavior,Governance
Moderate,United Kingdom: Investigation over Alleged Poor Disclosure Practice of Life Insurance Exit Fees,Ongoing,Mar-17,Anti-Competitive Practices,Corporate Behavior,Governance
Minor,"Illinois, United States: Putative Class Action Lawsuit over Alleged Unauthorized Use of Automated Telephone Dialing System for Debt Collection Purposes",Ongoing,Nov-18,Corruption & Instability,Corporate Behavior,Governance
Minor,Internal Inquiry over Potential Data Breach as Dismissed Staff Allegedly Continued Accessing Work Email,Ongoing,Mar-17,Corruption & Instability,Corporate Behavior,Governance
Minor,Poland: Account Fees Refunded after Regulator Proceedings Against Additional Fees Imposed to Accounts Linked to Loans,Concluded,Nov-18,Corruption & Instability,Corporate Behavior,Governance
Minor,United States: USD4.5 Million Penalty over Alleged False Disclosures and Over-payment upon Sales of Commercial Mortgage-Backed Securities,Concluded,Mar-17,Business Ethics,Corporate Behavior,Governance
Minor,Canada: Combined CAD55.2 Million Settlement of Civil Lawsuit over Alleged Currency Manipulation,Concluded,Aug-17,Anti-Competitive Practices,Corporate Behavior,Governance
Severe,Interbank Lending Rates Manipulation,Concluded,Oct-16,Financial System Instability,Corporate Behavior,Governance
Severe,"Deutsche Bank has faced regulatory scrutiny from the European Commission, the U.S. Federal Deposit Insurance Corp (FDIC),",Concluded,Aug-17,Financial System Instability,Corporate Behavior,Governance
Severe,Deutsche Bank agreed to settle U.S. and U.K. charges by paying a total of USD 2.5 billion in penalties.,Concluded,Jul-17,Financial System Instability,Corporate Behavior,Governance
Severe,Former Deutsche Bank Trader in Euribor Case Gets Tough Bail. (WSJ),Concluded,Oct-16,Financial System Instability,Corporate Behavior,Governance
Severe,Ex-Deutsche trader charged in rate-rigging case. (TELEGRAPH.CO.UK),Concluded,Aug-17,Financial System Instability,Corporate Behavior,Governance
Severe,Deutsche Bank settles US LIBOR lawsuit for $240M. (SNL BANK AND THRIFT DAILY),Concluded,Mar-17,Financial System Instability,Corporate Behavior,Governance
Severe,German court rejects British extradition request for ex-Deutsche Bank employees. (XINHUA GENERAL NEWS SERVICE),Concluded,Jul-17,Financial System Instability,Corporate Behavior,Governance
Severe,Nine banks accused of rigging key Canada lending rate. (Financial Times),Concluded,Mar-17,Financial System Instability,Corporate Behavior,Governance
Severe,New York Court Dismisses CHF LIBOR Suit.,Concluded,Nov-18,Financial System Instability,Corporate Behavior,Governance
Severe,Deutsche Bank agrees to $220m settlement in US Libor probe. (TELEGRAPH.CO.UK),Concluded,Feb-17,Financial System Instability,Corporate Behavior,Governance
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
